"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"70126","New Orleans","LA","30.019484151757077","-90.01740704435389","0.01","37","37","N/A"
"88081","Chaparral","NM","32.24958402201751","-106.28830325867285","0.01","37","9","32.14285714285714"
"51012","Cherokee","IA","42.744750416722525","-95.56167677060864","0.01","36","36","N/A"
"78264","San Antonio","TX","29.198671719118312","-98.50533405290098","0.01","36","36","N/A"
"73942","Guymon","OK","36.74455369096795","-101.49555272465439","0.01","36","9","33.33333333333333"
"85201","Mesa","AZ","33.433603905705844","-111.84925030852196","0.01","36","36","N/A"
"65803","Springfield","MO","37.28462909551558","-93.29034974705196","0.01","36","36","N/A"
"79220","Afton","TX","33.76580732681839","-100.76612948825058","0.01","36","36","N/A"
"73159","Oklahoma City","OK","35.38563131230636","-97.57938079037828","0.01","36","-48","-57.14285714285714"
"79907","El Paso","TX","31.70742027114088","-106.32679143393611","0.01","36","-6","-14.28571428571429"
"79414","Lubbock","TX","33.54863564736115","-101.91944280896446","0.01","35","-85","-70.83333333333333"
"40291","Louisville","KY","38.12747972874567","-85.578248264406","0.01","35","35","N/A"
"72713","Bentonville","AR","36.30035874204055","-94.28372304503016","0.01","35","35","N/A"
"80863","Woodland Park","CO","39.030058481274374","-105.07131959666944","0.01","35","35","N/A"
"19454","North Wales","PA","40.22300413237598","-75.24359477456379","0.01","35","-8","-18.6046511627907"
"73135","Oklahoma City","OK","35.39642123338116","-97.42697136825575","0.01","34","34","N/A"
"33064","Pompano Beach","FL","26.27806373666309","-80.1152082160442","0.01","34","34","N/A"
"75766","Jacksonville","TX","31.945919442840317","-95.25182508940827","0.01","34","34","N/A"
"79915","El Paso","TX","31.745879455711894","-106.37241765273143","0.009","33","33","N/A"
"79250","Petersburg","TX","33.881332228846354","-101.59877058198867","0.009","33","33","N/A"
"79036","Fritch","TX","35.59730929403915","-101.54827175917262","0.009","33","-124","-78.98089171974523"
"85746","Tucson","AZ","32.06962514041045","-111.09046594005645","0.009","33","33","N/A"
"79087","Texline","TX","36.32786793257809","-102.93653717712083","0.009","33","33","N/A"
"77705","Beaumont","TX","29.906519673333463","-94.16957478356272","0.009","33","33","N/A"
"75246","Dallas","TX","32.79296144776966","-96.77327267015401","0.009","33","-340","-91.15281501340482"
"69101","North Platte","NE","41.15018458352382","-100.8031788757048","0.009","33","33","N/A"
"75154","Red Oak","TX","32.52318562675517","-96.80888706635494","0.009","33","33","N/A"
"74864","Prague","OK","35.492100274212724","-96.70267317545112","0.009","33","33","N/A"
"46229","Indianapolis","IN","39.788510319006626","-85.97801111517371","0.009","33","33","N/A"
"78666","San Marcos","TX","29.882603511631743","-97.97974790310626","0.009","33","16","94.11764705882352"
"76105","Fort Worth","TX","32.72328681247966","-97.2700079767419","0.009","33","33","N/A"
"77840","College Station","TX","30.611528921111073","-96.32326490406149","0.009","33","33","N/A"
"76401","Stephenville","TX","32.27916635060585","-98.19993323154023","0.009","33","-31","-48.4375"
"75062","Irving","TX","32.84698830776827","-96.95816729577243","0.009","32","32","N/A"
"92058","Oceanside","CA","33.282750145217626","-117.34343834147398","0.009","32","32","N/A"
"79938","El Paso","TX","31.85764079507704","-106.03905497904944","0.009","32","-159","-83.24607329842932"
"88220","Carlsbad","NM","32.31422767201165","-104.41734735298394","0.009","32","-13","-28.888888888888886"
"79745","Kermit","TX","31.853000229445676","-103.0332334493022","0.009","32","19","146.15384615384616"
"78046","Laredo","TX","27.38370474983876","-99.36805128482732","0.009","32","32","N/A"
"87035","Moriarty","NM","34.9511801921839","-105.90277489337603","0.009","32","32","N/A"
"78332","Alice","TX","27.716713929884595","-98.13209234020383","0.009","32","32","N/A"
"79343","Lorenzo","TX","33.65095499997713","-101.54459180709406","0.009","32","-4","-11.111111111111116"
